time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem	volts_little_cluster	volts_big_cluster	volts_gpu	volts_mem
1513610366.35	0.0	0.42281244762	-2.67681244762	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	66.0	61.0	58.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610366.59	5.157	0.384514932987	2.51848506701	2.254	0.0	0.0	0.0	0.0	0.086956521739	0.0	0.0	0.0	57.0	61.0	61.0	58.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610366.83	4.462	0.376016534455	1.83198346554	2.254	0.0400000000009	0.0	0.0	0.0	0.0400000000008	0.0	0.0	0.0	56.0	60.0	60.0	57.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610367.07	3.809	0.373081316319	1.18191868368	2.254	0.0399999999991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	60.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610367.31	3.863	0.373081316319	1.23591868368	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	60.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610367.55	3.863	0.372606561436	1.23639343856	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610367.79	3.817	0.372606561436	1.19039343856	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610368.03	3.805	0.373081316319	1.17791868368	2.254	0.0	0.0	0.0	0.0	0.0833333333332	0.0	0.0	0.0	56.0	60.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610368.27	3.916	0.372606561436	1.28939343856	2.254	0.0400000000009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610368.51	3.916	0.372606561436	1.28939343856	2.254	0.0416666666657	0.0	0.0	0.0	0.0399999999991	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610368.75	3.798	0.372606561436	1.17139343856	2.254	0.0400000000008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610368.99	3.798	0.372606561436	1.17139343856	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610369.23	3.809	0.372606561436	1.18239343856	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0400000000009	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610369.47	3.809	0.373081316319	1.18191868368	2.254	0.0	0.0	0.0	0.0	0.0833333333333	0.0	0.0	0.0	56.0	60.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610369.71	3.855	0.372606561436	1.22839343856	2.254	0.0	0.0	0.0	0.0	0.0400000000008	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610369.95	3.794	0.365727563109	1.17427243689	2.254	0.0416666666675	0.0	0.0	0.0	0.0416666666675	0.0	0.0	0.0	56.0	59.0	59.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610370.19	3.794	0.365727563109	1.17427243689	2.254	0.0399999999991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	59.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610370.43	3.928	0.372606561436	1.30139343856	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610370.67	3.779	0.372606561436	1.15239343856	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610370.92	3.779	0.373081316319	1.15191868368	2.254	0.0	0.0	0.0	0.0	0.0416666666657	0.0399999999991	0.0	0.0	57.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610371.16	3.779	0.372606561436	1.15239343856	2.254	0.0416666666657	0.0	0.0	0.0	0.0416666666675	0.0	0.0399999999991	0.0	56.0	59.0	60.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610371.4	3.805	0.365727563109	1.18527243689	2.254	0.0416666666657	0.0	0.0	0.0	0.0416666666657	0.0	0.0	0.0	56.0	59.0	59.0	57.0	54.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610371.64	3.893	0.385004072038	1.25399592796	2.254	0.0400000000008	0.0	0.0	0.0	0.24	0.166666666667	0.0400000000009	0.0416666666675	60.0	61.0	60.0	57.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610371.88	3.897	0.416923130731	1.22607686927	2.254	0.0434782608705	0.0	0.0	0.0	0.52	0.4	0.222222222222	0.0	60.0	65.0	63.0	58.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610372.12	3.897	0.429434450804	1.2135655492	2.254	0.0	0.0	0.0	0.0	0.52	0.500000000001	0.150000000001	0.0	61.0	66.0	64.0	59.0	56.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610372.36	3.962	0.438600319997	1.26939968	2.254	0.159999999998	0.0	0.0	0.0	0.416666666666	0.416666666666	0.25	0.0	61.0	67.0	65.0	60.0	56.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610372.6	3.889	0.447433587686	1.18756641231	2.254	0.0833333333332	0.0	0.0	0.0	0.500000000001	0.565217391305	0.120000000001	0.0	63.0	68.0	64.0	60.0	56.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610372.84	4.901	0.447433587686	2.19956641231	2.254	0.0833333333351	0.0	0.0	0.0	0.388888888889	0.620689655172	0.0	0.0	63.0	68.0	64.0	60.0	56.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610373.08	4.901	0.412210562486	2.23478943751	2.254	0.0434782608705	0.0	0.0	0.0	0.086956521739	0.120000000001	0.0799999999999	0.0	59.0	64.0	63.0	59.0	56.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610373.32	5.863	0.396234390224	3.21276560978	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.0	62.0	62.0	59.0	56.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610373.56	5.721	0.387525156615	3.07947484339	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	61.0	61.0	58.0	56.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610373.8	5.874	0.384514932987	3.23548506701	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	61.0	61.0	58.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610374.04	5.874	0.384514932987	3.23548506701	2.254	0.0	0.0	0.0	0.0	0.0833333333333	0.0	0.0	0.0	57.0	61.0	61.0	58.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610374.28	5.748	0.384028214066	3.10997178593	2.254	0.0399999999991	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	60.0	61.0	58.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610374.52	4.508	0.376977953771	1.87702204623	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	57.0	60.0	60.0	58.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610374.76	4.508	0.37649604772	1.87750395228	2.254	0.0416666666657	0.0	0.0	0.0	0.0399999999991	0.0	0.0	0.0	57.0	60.0	60.0	57.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610375.0	3.817	0.376016534455	1.18698346554	2.254	0.0	0.0	0.0	0.0	0.115384615385	0.0	0.0	0.0	56.0	60.0	60.0	57.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610375.24	3.794	0.376016534455	1.16398346554	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0399999999991	0.0	56.0	60.0	60.0	57.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
1513610375.48	3.817	0.37649604772	1.18650395228	2.254	0.0	0.0	0.0	0.0	0.0799999999999	0.0	0.0399999999991	0.0	57.0	60.0	60.0	57.0	55.0	200000000.0	2000000000.0	600000000.0	825000000.0	0.9	1.3	1.0	1.0	
