time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem
1513655325.12	0.0	0.284747729878	-2.53874772988	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	48.0	50.0	51.0	49.0	48.0	1400000000.0	300000000.0	600000000.0	825000000.0	
1513655325.32	3.809	0.272952180122	1.28204781988	2.254	0.0909090909038	0	0	0	0.0476190476199	0	0	0	48.0	50.0	51.0	49.0	47.0	1100000000.0	200000000.0	600000000.0	825000000.0	
1513655325.52	3.233	0.25871734358	0.72028265642	2.254	0	0.0952380952319	0	0	0	0	0.0476190476203	0	48.0	50.0	51.0	49.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655325.72	3.034	0.253739237547	0.526260762453	2.254	0.0952380952397	0.100000000002	0	0	0.0500000000014	0	0	0	47.0	50.0	50.0	49.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655325.93	3.004	0.253360343875	0.496639656125	2.254	0	0.100000000002	0	0	0	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655326.13	3.004	0.253360343875	0.496639656125	2.254	0.0476190476203	0.0952380952397	0	0	0	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655326.33	3.0	0.253360343875	0.492639656125	2.254	0.100000000002	0.0999999999945	0	0	0.100000000002	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655326.53	2.996	0.252983440379	0.489016559621	2.254	0.0500000000009	0.0526315789484	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655326.73	2.989	0.252983440379	0.482016559621	2.254	0.0952380952406	0.100000000002	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655326.93	2.989	0.253360343875	0.481639656125	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655327.13	2.992	0.253360343875	0.484639656125	2.254	0	0.0500000000009	0	0	0.0500000000009	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655327.33	3.004	0.253360343875	0.496639656125	2.254	0.0499999999923	0.100000000002	0	0	0.0500000000009	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655327.53	2.992	0.253360343875	0.484639656125	2.254	0.0952380952327	0.0999999999945	0	0	0.0476190476203	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655327.73	2.992	0.252983440379	0.485016559621	2.254	0.0526315789484	0.100000000002	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655327.93	2.996	0.252983440379	0.489016559621	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655328.13	2.996	0.252983440379	0.489016559621	2.254	0	0.0500000000009	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655328.33	2.996	0.252983440379	0.489016559621	2.254	0.0526315789489	0.0999999999936	0	0	0.0500000000009	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655328.53	2.996	0.252983440379	0.489016559621	2.254	0.0952380952397	0.0999999999945	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655328.73	2.996	0.252983440379	0.489016559621	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655328.93	3.019	0.252983440379	0.512016559621	2.254	0.0500000000009	0.100000000002	0	0	0.105263157888	0	0	0.149999999995	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655329.13	3.019	0.252983440379	0.512016559621	2.254	0	0	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655329.33	3.0	0.252983440379	0.493016559621	2.254	0.0500000000009	0.142857142852	0	0	0.0500000000014	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655329.53	3.004	0.252983440379	0.497016559621	2.254	0.100000000002	0.100000000002	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655329.73	3.0	0.252983440379	0.493016559621	2.254	0.0952380952397	0.100000000003	0	0	0.0476190476199	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655329.93	3.0	0.253360343875	0.492639656125	2.254	0.0499999999927	0.100000000002	0	0	0.0526315789484	0.526315789474	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655330.13	3.05	0.252983440379	0.543016559621	2.254	0	0.0500000000009	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655330.33	3.008	0.253360343875	0.500639656125	2.254	0.0952380952397	0.100000000002	0	0	0.0500000000009	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655330.54	3.0	0.252983440379	0.493016559621	2.254	0.0952380952406	0.0526315789393	0	0	0	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655330.74	3.0	0.252983440379	0.493016559621	2.254	0	0.142857142861	0	0	0.0500000000014	0	0	0	47.0	49.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655330.94	3.0	0.253360343875	0.492639656125	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	47.0	50.0	50.0	48.0	47.0	200000000.0	200000000.0	600000000.0	825000000.0	
