time watts usage_c0 usage_c1 usage_c2 usage_c3 usage_c4 usage_c5 usage_c6 usage_c7 temp4 temp5 temp6 temp7 temp_gpu freq_little_cluster freq_big_cluster freq_gpu freq_mem volts_little_cluster volts_big_cluster volts_gpu volts_mem
1505201277.55 0 0.2 0.0 0.0 0.0 1.0 1.0 1.0 1.0 76.0 84.0 82.0 74.0 61.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201277.65 10.008 0.166666666667 0.0 0.0 0.0 1.0 1.0 1.0 1.0 76.0 85.0 83.0 74.0 61.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201277.75 10.008 0.0 0.333333333333 0.0 0.0 1.0 1.0 1.0 1.0 76.0 85.0 83.0 74.0 62.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201277.85 10.119 0.2 0.0 0.0 0.0 1.0 1.0 1.0 1.0 77.0 85.0 84.0 75.0 62.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201277.95 10.119 1.0 0.166666666667 0.0 0.0 1.0 1.0 1.0 1.0 77.0 86.0 84.0 75.0 62.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201278.05 10.119 0.2 0.2 0.714285714286 0.0 0.833333333333 1.0 0.833333333333 0.833333333333 77.0 86.0 84.0 75.0 62.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201278.15 9.935 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 77.0 86.0 84.0 75.0 62.0 200000000.0 1800000000.0 600000000.0 825000000.0 0.9 1.1875 1.0 1.0
1505201278.25 9.935 0.0 0.0 0.0 0.0 1.0 1.0 1.0 1.0 76.0 85.0 83.0 74.0 62.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201278.35 9.935 0.285714285714 0.0 0.166666666667 0.0 1.0 1.0 1.0 1.0 76.0 85.0 83.0 75.0 62.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201278.45 9.359 0.166666666667 0.0 0.0 0.0 1.0 1.0 1.0 1.0 77.0 86.0 84.0 75.0 62.0 200000000.0 1900000000.0 600000000.0 825000000.0 0.9 1.2375 1.0 1.0
1505201278.55 9.359 0.833333333333 0.2 0.0 0.0 1.0 1.0 1.0 1.0 77.0 86.0 85.0 76.0 63.0 200000000.0 1800000000.0 600000000.0 825000000.0 0.9 1.1875 1.0 1.0
1505201278.65 9.832 0.6 0.5 0.2 0.0 1.0 1.0 1.0 1.0 77.0 86.0 84.0 75.0 63.0 200000000.0 1800000000.0 600000000.0 825000000.0 0.9 1.1875 1.0 1.0
1505201278.75 9.832 0.6 0.6 0.285714285714 0.0 1.0 1.0 1.0 1.0 76.0 85.0 84.0 75.0 63.0 200000000.0 1800000000.0 600000000.0 825000000.0 0.9 1.1875 1.0 1.0
