time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem	volts_little_cluster	volts_big_cluster	volts_gpu	volts_mem
1513614855.31	0.0	0.374535762124	-2.62853576212	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	60.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614855.55	3.221	0.374535762124	0.592464237876	2.254	0.0	0.0	0.0	0.0	0.560000000001	0.0434782608704	0.166666666669	0.0	60.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614855.79	3.122	0.374535762124	0.493464237876	2.254	0.0	0.0	0.0	0.0	0.0434782608666	0.0	0.0416666666676	0.0	60.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614856.03	3.092	0.374014319822	0.463985680178	2.254	0.0416666666638	0.0	0.0	0.0	0.0434782608704	0.0416666666638	0.124999999999	0.0	59.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614856.27	3.092	0.374014319822	0.463985680178	2.254	0.0	0.0	0.0	0.0	0.0416666666676	0.0	0.0	0.0400000000007	59.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614856.51	3.084	0.374014319822	0.455985680178	2.254	0.0	0.0	0.0	0.0	0.0869565217372	0.0	0.0833333333318	0.0	59.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614856.75	3.076	0.374014319822	0.447985680178	2.254	0.0400000000009	0.0	0.0	0.0	0.0416666666675	0.0	3.95428134681e-12	0.0	59.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614856.99	3.076	0.374535762124	0.447464237876	2.254	0.0	0.0	0.0	0.0	0.307692307695	0.0416666666676	0.0400000000009	0.0	60.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614857.23	3.115	0.374535762124	0.486464237876	2.254	0.0434782608706	0.0	0.0	0.0	0.272727272726	0.0833333333314	0.0869565217372	-3.78963527226e-12	60.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614857.47	3.095	0.374014319822	0.466985680178	2.254	0.0416666666675	0.0	0.0	0.0	0.153846153846	0.0	0.0400000000009	0.0	59.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614857.71	3.076	0.374014319822	0.447985680178	2.254	0.0	0.0	0.0	0.0	0.0434782608704	0.0	-3.95439236911e-12	0.0	59.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614857.95	3.069	0.374014319822	0.440985680178	2.254	0.0	0.0	0.0	0.0	0.120000000002	0.0	0.0400000000009	0.0	59.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614858.19	3.069	0.373495418454	0.441504581546	2.254	0.0	0.0	0.0	0.0	0.0434782608668	0.0	0.0	3.95428134681e-12	59.0	62.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614858.43	3.069	0.373495418454	0.441504581546	2.254	0.0399999999974	0.0	0.0	0.0	0.0833333333314	0.0	3.95428134681e-12	0.0	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614858.67	3.073	0.374535762124	0.444464237876	2.254	0.0	0.0	0.0	0.0	0.478260869565	0.0799999999981	0.0	0.0	60.0	63.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614858.91	3.111	0.373495418454	0.483504581546	2.254	0.0416666666675	0.0	0.0	0.0	0.0833333333349	0.0416666666676	0.0400000000009	0.119999999999	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614859.15	3.088	0.373495418454	0.460504581546	2.254	0.0	0.0	0.0	0.0	0.0799999999984	0.0	-3.95439236911e-12	0.0	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614859.39	3.061	0.373495418454	0.433504581546	2.254	0.0	0.0	0.0	0.0	0.181818181818	0.0	0.0	0.0416666666638	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614859.64	3.103	0.373495418454	0.475504581546	2.254	0.0	0.0	0.0	0.0	0.0833333333349	0.0	0.0	0.0	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614859.88	3.069	0.372979048591	0.442020951409	2.254	0.0	0.0	0.0	0.0	0.119999999999	0.0	0.0416666666675	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614860.12	3.065	0.372979048591	0.438020951409	2.254	0.0	0.0	0.0	0.0	0.0833333333314	0.0	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614860.36	3.065	0.373495418454	0.437504581546	2.254	0.0416666666675	0.0	0.0	0.0	0.565217391304	0.0800000000017	0.0416666666676	0.0416666666675	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614860.6	3.076	0.373495418454	0.448504581546	2.254	0.0400000000009	0.0	0.0	0.0	0.0869565217408	0.0769230769212	0.0400000000009	0.0	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614860.84	3.076	0.373495418454	0.448504581546	2.254	0.0	0.0	0.0	0.0	0.0799999999984	0.0	0.0	0.0	59.0	62.0	63.0	61.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614861.08	3.065	0.373495418454	0.437504581546	2.254	0.0	0.0	0.0	0.0	0.208333333333	0.333333333333	0.0	0.0	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614861.32	3.126	0.372979048591	0.499020951409	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0399999999974	0.0416666666676	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614861.56	3.061	0.372979048591	0.434020951409	2.254	0.0	0.0	0.0	0.0	0.124999999999	0.0	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614861.8	3.065	0.373495418454	0.437504581546	2.254	0.0	0.0	0.0	0.0	0.0416666666675	0.0	0.041666666664	0.0	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614862.04	3.126	0.373495418454	0.498504581546	2.254	0.0800000000015	0.0	0.0	0.0	0.120000000003	0.48	0.0416666666711	0.0400000000009	59.0	63.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614862.28	3.126	0.372979048591	0.499020951409	2.254	0.0	0.0	0.0	0.0	0.0833333333314	0.0	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614862.52	3.069	0.372979048591	0.442020951409	2.254	0.0	0.0	0.0	0.0	0.0833333333349	3.78952424995e-12	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614862.76	3.069	0.372979048591	0.442020951409	2.254	0.0	0.0	0.0	0.0	0.0833333333352	0.0	0.076923076918	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614863.0	3.057	0.372979048591	0.430020951409	2.254	0.0	0.0	0.0	0.0	-4.13402645449e-12	0.0	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614863.24	3.069	0.372979048591	0.442020951409	2.254	0.0	0.0	0.0	0.0	0.240000000001	0.0416666666638	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614863.48	3.076	0.372979048591	0.449020951409	2.254	0.0416666666638	0.0	0.0	0.0	0.333333333333	0.0800000000017	0.0416666666638	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614863.72	3.145	0.372979048591	0.518020951409	2.254	0.0800000000017	0.0	0.0	0.0	0.249999999999	0.119999999996	0.120000000002	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614863.96	3.061	0.372979048591	0.434020951409	2.254	0.0	0.0	0.0	0.0	0.0434782608704	0.0	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614864.2	3.057	0.372979048591	0.430020951409	2.254	0.0	0.0	0.0	0.0	0.0434782608704	3.95428134681e-12	0.0	0.0400000000009	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614864.44	3.057	0.372979048591	0.430020951409	2.254	0.0	0.0	0.0	0.0	0.119999999996	0.0	0.0	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614864.68	3.061	0.372979048591	0.434020951409	2.254	0.0	0.0	0.0	0.0	0.0434782608706	0.041666666664	0.0400000000009	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614864.92	3.061	0.372979048591	0.434020951409	2.254	0.0	0.0	0.0	0.0	0.0800000000015	0.0400000000007	0.0400000000009	0.0416666666676	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614865.17	3.065	0.372979048591	0.438020951409	2.254	0.0800000000017	0.0	0.0	0.0	0.565217391306	0.347826086957	0.0869565217372	0.0	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
1513614865.41	3.176	0.372979048591	0.549020951409	2.254	0.0416666666638	0.0	0.0	0.0	0.0416666666675	0.0800000000017	0.0	-3.78963527226e-12	59.0	62.0	63.0	60.0	59.0	200000000.0	200000000.0	600000000.0	825000000.0	0.9	0.9	1.0	1.0	
