time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem
1513655896.41	0.0	0.344581877581	-2.59858187758	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	55.0	57.0	57.0	55.0	54.0	1400000000.0	200000000.0	600000000.0	825000000.0	
1513655896.61	3.218	0.332699483409	0.631300516591	2.254	0	0	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	1100000000.0	200000000.0	600000000.0	825000000.0	
1513655896.81	3.244	0.315309819783	0.674690180217	2.254	0.0500000000009	0	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655897.01	3.069	0.315309819783	0.499690180217	2.254	0.0500000000009	0.136363636366	0	0	0.0500000000009	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655897.21	3.057	0.315309819783	0.487690180217	2.254	0.0952380952406	0.0999999999936	0	0	0.619047619046	0	0.0500000000009	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655897.41	3.057	0.315309819783	0.487690180217	2.254	0	0.100000000003	0	0	0.399999999998	0.61904761905	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655897.61	3.13	0.315309819783	0.560690180217	2.254	0.0952380952241	0.142857142852	0	0	0.421052631581	0.368421052633	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655897.81	3.095	0.315309819783	0.525690180217	2.254	0.0526315789484	0	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655898.01	3.019	0.315309819783	0.449690180217	2.254	0.0500000000014	0.100000000002	0	0	0.0500000000009	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655898.22	3.019	0.315309819783	0.449690180217	2.254	0.0500000000009	0.0952380952397	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655898.42	3.015	0.315309819783	0.445690180217	2.254	0	0.0526315789489	0	0	0.210526315791	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655898.62	3.042	0.315309819783	0.472690180217	2.254	0.142857142861	0.142857142852	0	0	0.0476190476203	0	0.0476190476199	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655898.82	3.05	0.315309819783	0.480690180217	2.254	0	0.0526315789484	0	0	0.599999999998	0	0.0500000000009	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655899.02	3.05	0.315309819783	0.480690180217	2.254	0.0500000000009	0.100000000002	0	0	0.0500000000009	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655899.22	3.046	0.315309819783	0.476690180217	2.254	0.0952380952397	0.100000000002	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655899.42	3.012	0.315309819783	0.442690180217	2.254	0	0.0952380952397	0	0	0.0526315789484	0.0476190476199	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655899.62	3.012	0.315309819783	0.442690180217	2.254	0.0526315789484	0.0526315789489	0	0	0.0555555555567	0.299999999999	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655899.82	3.038	0.315309819783	0.468690180217	2.254	0.0952380952397	0.0999999999936	0	0	0.666666666667	0.545454545455	0.0500000000009	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655900.02	3.168	0.315309819783	0.598690180217	2.254	0.136363636352	0.100000000002	0	0	0.299999999996	0.16666666667	0.315789473684	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655900.22	3.061	0.315309819783	0.491690180217	2.254	0	0.0526315789484	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655900.42	3.061	0.315309819783	0.491690180217	2.254	0	0.100000000002	0	0	0.571428571426	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655900.62	3.061	0.315309819783	0.491690180217	2.254	0.0500000000009	0.0999999999936	0	0	0	0.0476190476116	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655900.82	3.031	0.315309819783	0.461690180217	2.254	0.0526315789484	0.100000000003	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655901.02	3.027	0.315309819783	0.457690180217	2.254	0.100000000003	0.0500000000009	0	0	0.111111111113	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655901.22	3.027	0.315309819783	0.457690180217	2.254	0.421052631583	0.14285714286	0.0476190476199	0	0.538461538469	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655901.42	3.328	0.315309819783	0.758690180217	2.254	0.499999999995	0.0526315789484	0	0	0.57142857143	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655901.62	3.336	0.315309819783	0.766690180217	2.254	0.100000000002	0.14285714286	0	0	0.0526315789484	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655901.82	3.023	0.315309819783	0.453690180217	2.254	0	0.0999999999945	0	0	0	0	0.0500000000009	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655902.02	3.023	0.320800069157	0.448199930843	2.254	0.0999999999945	0.100000000002	0	0	0.428571428574	0.473684210525	0.77272727273	0	54.0	57.0	58.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655902.22	3.145	0.315309819783	0.575690180217	2.254	0.0952380952397	0.0526315789484	0	0	0.526315789474	0.473684210526	0	0.0476190476203	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655902.42	3.118	0.315309819783	0.548690180217	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655902.63	3.118	0.315309819783	0.548690180217	2.254	0.0500000000009	0.0500000000009	0	0	0	0	0.0500000000014	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655902.83	3.019	0.315309819783	0.449690180217	2.254	0	0.0999999999936	0	0	0.0500000000009	0.0476190476199	0.238095238091	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655903.03	3.042	0.315309819783	0.472690180217	2.254	0.0526315789484	0.100000000003	0	0	0.0526315789484	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655903.23	3.027	0.315309819783	0.457690180217	2.254	0.136363636366	0.100000000002	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655903.43	3.027	0.315309819783	0.457690180217	2.254	0	0.0526315789484	0	0	0	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655903.63	3.012	0.315309819783	0.442690180217	2.254	0.0500000000014	0.0952380952319	0	0	0.523809523806	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655903.83	3.073	0.315309819783	0.503690180217	2.254	0.0526315789484	0.14285714286	0	0	0.157894736837	0	0	0.0476190476203	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655904.03	3.031	0.315309819783	0.461690180217	2.254	0.0500000000009	0.0526315789489	0	0	0.0952380952397	0.0500000000009	0.0476190476203	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655904.23	3.031	0.315309819783	0.461690180217	2.254	0.173913043474	0.0526315789484	0	0	0.111111111113	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655904.43	3.023	0.315309819783	0.453690180217	2.254	0	0.14285714286	0	0	0.571428571426	0.473684210526	0.105263157897	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655904.63	3.157	0.315309819783	0.587690180217	2.254	0.0526315789484	0.0999999999936	0	0	0.250000000005	0.250000000005	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655904.83	3.042	0.31246201539	0.47553798461	2.254	0	0.100000000002	0	0	0.0952380952397	0	0	0	54.0	57.0	57.0	55.0	53.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655905.03	3.042	0.315309819783	0.472690180217	2.254	0.100000000002	0.100000000002	0	0	0.100000000002	0	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655905.23	3.031	0.315309819783	0.461690180217	2.254	0.0952380952406	0.100000000002	0	0	0.421052631581	0.0476190476199	0	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655905.43	3.08	0.315309819783	0.510690180217	2.254	0.0500000000009	0.0952380952327	0	0	0.157894736837	0	0.0476190476199	0	54.0	57.0	57.0	55.0	54.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513655905.63	3.023	0.31246201539	0.45653798461	2.254	0.0526315789484	0.0526315789484	0	0	0.0526315789484	0	0	0	54.0	57.0	57.0	55.0	53.0	200000000.0	200000000.0	600000000.0	825000000.0	
