time	watts	w_leak	w_dyn	w_periph	usage_c0	usage_c1	usage_c2	usage_c3	usage_c4	usage_c5	usage_c6	usage_c7	temp4	temp5	temp6	temp7	temp_gpu	freq_little_cluster	freq_big_cluster	freq_gpu	freq_mem
1513656307.26	0.0	0.389004143164	-2.64300414316	2.254	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	59.0	61.0	61.0	59.0	58.0	1400000000.0	200000000.0	600000000.0	825000000.0	
1513656307.46	3.206	0.37213541975	0.57986458025	2.254	0.0476190476199	0	0	0	0	0.181818181821	0	0	58.0	61.0	61.0	59.0	58.0	1000000000.0	200000000.0	600000000.0	825000000.0	
1513656307.66	3.336	0.352813372645	0.729186627355	2.254	0	0.0476190476116	0	0	0	0	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656307.86	3.095	0.352813372645	0.488186627355	2.254	0.173913043481	0.100000000002	0	0	0	0	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656308.07	3.046	0.352813372645	0.439186627355	2.254	0	0.0526315789484	0	0	0.0500000000009	0	0	0.0476190476203	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656308.27	3.053	0.352813372645	0.446186627355	2.254	0	0.100000000003	0	0	0	0	0.0476190476199	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656308.47	3.053	0.352813372645	0.446186627355	2.254	0.0526315789484	0.100000000002	0	0	0.250000000005	0.399999999998	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656308.67	3.122	0.352813372645	0.515186627355	2.254	0.0952380952319	0.0999999999936	0	0	0.619047619043	0.526315789479	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656308.87	3.168	0.352813372645	0.561186627355	2.254	0.142857142861	0.14285714286	0	0	0.761904761907	0.142857142852	0.157894736837	0.0999999999936	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656309.07	3.122	0.352813372645	0.515186627355	2.254	0	0.0526315789484	0	0	0.105263157897	0.0476190476199	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656309.27	3.122	0.352813372645	0.515186627355	2.254	0.0500000000009	0.100000000002	0	0	0	0	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656309.47	3.046	0.352813372645	0.439186627355	2.254	0.100000000002	0.0526315789489	0	0	0.0500000000009	0	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656309.67	3.046	0.352813372645	0.439186627355	2.254	0.0500000000014	0.0952380952319	0	0	0	0	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
1513656309.87	3.046	0.352813372645	0.439186627355	2.254	0.100000000002	0.100000000002	0	0	0	0	0	0	58.0	61.0	61.0	59.0	57.0	200000000.0	200000000.0	600000000.0	825000000.0	
