# started on Wed Jan 10 16:32:07 2018

#           time CPU                counts unit events
     0.200791307 CPU4            32,113,478      cycles                                                      
     0.200791307 CPU5           385,260,085      cycles                                                      
     0.200791307 CPU6             4,871,088      cycles                                                      
     0.200791307 CPU7             1,821,901      cycles                                                      
     0.200791307 CPU4             6,970,906      instructions              #    0.22  insn per cycle         
     0.200791307 CPU5           541,948,911      instructions              #   16.88  insn per cycle         
     0.200791307 CPU6               466,703      instructions              #    0.01  insn per cycle         
     0.200791307 CPU7                35,195      instructions              #    0.00  insn per cycle         
     0.200791307 CPU4                    45      page-faults                                                 
     0.200791307 CPU5                   477      page-faults                                                 
     0.200791307 CPU6                     0      page-faults                                                 
     0.200791307 CPU7                     0      page-faults                                                 
     0.200791307 CPU4                23,536      LLC-load-misses                                             
     0.200791307 CPU5                54,704      LLC-load-misses                                             
     0.200791307 CPU6                 8,973      LLC-load-misses                                             
     0.200791307 CPU7                   311      LLC-load-misses                                             
     0.200791307 CPU4                49,915      branch-misses             #    3.26% of all branches        
     0.200791307 CPU5             3,297,672      branch-misses             #  215.40% of all branches        
     0.200791307 CPU6                 8,761      branch-misses             #    0.57% of all branches        
     0.200791307 CPU7                   669      branch-misses             #    0.04% of all branches        
     0.200791307 CPU4             1,530,962      branches                                                    
     0.200791307 CPU5            99,083,010      branches                                                    
     0.200791307 CPU6               116,294      branches                                                    
     0.200791307 CPU7                 7,428      branches                                                    
     0.401412032 CPU4            25,757,726      cycles                                                      
     0.401412032 CPU5           381,245,149      cycles                                                      
     0.401412032 CPU6             2,689,232      cycles                                                      
     0.401412032 CPU7             1,204,180      cycles                                                      
     0.401412032 CPU4             4,524,975      instructions              #    0.16  insn per cycle         
     0.401412032 CPU5           542,912,021      instructions              #   18.76  insn per cycle         
     0.401412032 CPU6               200,358      instructions              #    0.01  insn per cycle         
     0.401412032 CPU7                14,840      instructions              #    0.00  insn per cycle         
     0.401412032 CPU4                    10      page-faults                                                 
     0.401412032 CPU5                   393      page-faults                                                 
     0.401412032 CPU6                     0      page-faults                                                 
     0.401412032 CPU7                     0      page-faults                                                 
     0.401412032 CPU4                13,217      LLC-load-misses                                             
     0.401412032 CPU5                50,379      LLC-load-misses                                             
     0.401412032 CPU6                 2,539      LLC-load-misses                                             
     0.401412032 CPU7                    31      LLC-load-misses                                             
     0.401412032 CPU4                25,874      branch-misses             #    1.97% of all branches        
     0.401412032 CPU5             3,289,047      branch-misses             #  250.86% of all branches        
     0.401412032 CPU6                 2,747      branch-misses             #    0.21% of all branches        
     0.401412032 CPU7                   145      branch-misses             #    0.01% of all branches        
     0.401412032 CPU4             1,091,305      branches                                                    
     0.401412032 CPU5            99,167,777      branches                                                    
     0.401412032 CPU6                47,489      branches                                                    
     0.401412032 CPU7                 3,684      branches                                                    
     0.601904425 CPU4            24,324,089      cycles                                                      
     0.601904425 CPU5           362,615,382      cycles                                                      
     0.601904425 CPU6             2,182,654      cycles                                                      
     0.601904425 CPU7             1,566,381      cycles                                                      
     0.601904425 CPU4             4,849,781      instructions              #    0.18  insn per cycle         
     0.601904425 CPU5           518,239,186      instructions              #   18.91  insn per cycle         
     0.601904425 CPU6               135,008      instructions              #    0.00  insn per cycle         
     0.601904425 CPU7                58,432      instructions              #    0.00  insn per cycle         
     0.601904425 CPU4                     0      page-faults                                                 
     0.601904425 CPU5                   376      page-faults                                                 
     0.601904425 CPU6                     0      page-faults                                                 
     0.601904425 CPU7                     0      page-faults                                                 
     0.601904425 CPU4                16,968      LLC-load-misses                                             
