time v a w
512778253.89 V:4.981 A:0.386 W:1.924
512778254.02 V:4.980 A:0.386 W:1.928
512778254.22 V:4.981 A:0.386 W:1.924
512778254.42 V:4.981 A:0.386 W:1.928
512778254.62 V:4.981 A:0.386 W:1.928
512778254.82 V:4.980 A:0.386 W:1.924
512778255.02 V:4.981 A:0.389 W:1.939
512778255.22 V:4.981 A:0.386 W:1.924
512778255.42 V:4.981 A:0.386 W:1.924
512778255.62 V:4.981 A:0.386 W:1.924
512778255.82 V:4.981 A:0.386 W:1.924
512778256.02 V:4.981 A:0.386 W:1.924
512778256.22 V:4.981 A:0.386 W:1.928
512778256.42 V:4.981 A:0.386 W:1.924
512778256.62 V:4.981 A:0.386 W:1.924
512778256.82 V:4.981 A:0.386 W:1.924
512778257.02 V:4.980 A:0.386 W:1.924
512778257.22 V:4.980 A:0.386 W:1.924
512778257.42 V:4.981 A:0.386 W:1.924
512778257.62 V:4.981 A:0.386 W:1.924
512778257.82 V:4.981 A:0.386 W:1.924
512778258.02 V:4.980 A:0.386 W:1.924
512778258.22 V:4.981 A:0.386 W:1.924
512778258.42 V:4.981 A:0.386 W:1.924
512778258.62 V:4.981 A:0.386 W:1.924
512778258.82 V:4.980 A:0.386 W:1.924
512778259.02 V:4.980 A:0.386 W:1.924
512778259.22 V:4.981 A:0.388 W:1.935
512778259.42 V:4.981 A:0.386 W:1.924
512778259.62 V:4.981 A:0.386 W:1.924
512778259.82 V:4.981 A:0.386 W:1.924
512778260.02 V:4.981 A:0.386 W:1.924
512778260.22 V:4.981 A:0.386 W:1.928
512778260.42 V:4.981 A:0.386 W:1.924
512778260.62 V:4.981 A:0.386 W:1.924
512778260.82 V:4.981 A:0.386 W:1.924
512778261.02 V:4.981 A:0.386 W:1.924
512778261.22 V:4.980 A:0.386 W:1.928
512778261.42 V:4.980 A:0.386 W:1.928
512778261.62 V:4.981 A:0.387 W:1.931
512778261.82 V:4.981 A:0.387 W:1.928
512778262.02 V:4.981 A:0.387 W:1.928
512778262.22 V:4.980 A:0.386 W:1.924
512778262.42 V:4.984 A:0.386 W:1.924
512778262.62 V:4.981 A:0.386 W:1.924
512778262.82 V:4.981 A:0.386 W:1.924
512778263.02 V:4.980 A:0.386 W:1.924
512778263.22 V:4.981 A:0.387 W:1.928
512778263.42 V:4.981 A:0.386 W:1.924
512778263.62 V:4.981 A:0.386 W:1.924
512778263.82 V:4.980 A:0.386 W:1.924
512778264.02 V:4.981 A:0.386 W:1.924
512778264.22 V:4.980 A:0.386 W:1.924
512778264.42 V:4.980 A:0.386 W:1.924
512778264.62 V:4.981 A:0.386 W:1.924
512778264.82 V:4.981 A:0.386 W:1.924
512778265.02 V:4.981 A:0.387 W:1.928
512778265.22 V:4.981 A:0.387 W:1.928
512778265.42 V:4.981 A:0.386 W:1.928
512778265.62 V:4.981 A:0.386 W:1.924
512778265.82 V:4.981 A:0.386 W:1.924
512778266.02 V:4.981 A:0.386 W:1.924
512778266.22 V:4.980 A:0.386 W:1.924
512778266.42 V:4.981 A:0.386 W:1.924
512778266.62 V:4.981 A:0.386 W:1.924
512778266.82 V:4.981 A:0.386 W:1.924
512778267.02 V:4.981 A:0.386 W:1.928
512778267.22 V:4.981 A:0.386 W:1.924
512778267.42 V:4.981 A:0.386 W:1.924
512778267.62 V:4.981 A:0.386 W:1.928
512778267.82 V:4.981 A:0.386 W:1.928
512778268.02 V:4.980 A:0.386 W:1.924
512778268.22 V:4.980 A:0.386 W:1.924
512778268.42 V:4.980 A:0.386 W:1.924
512778268.62 V:4.980 A:0.386 W:1.924
512778268.82 V:4.980 A:0.386 W:1.924
512778269.02 V:4.980 A:0.387 W:1.928
512778269.22 V:4.981 A:0.396 W:1.977
512778269.42 V:4.983 A:0.413 W:2.057
512778269.62 V:4.983 A:0.413 W:2.057
512778269.82 V:4.984 A:0.409 W:2.038
512778270.02 V:4.981 A:0.386 W:1.924
512778270.22 V:4.981 A:0.386 W:1.924
512778270.42 V:4.981 A:0.386 W:1.924
512778270.62 V:4.980 A:0.386 W:1.924
