time v a w
512778582.26 V:4.981 A:0.383 W:1.908
512778582.42 V:4.983 A:0.383 W:1.908
512778582.62 V:4.983 A:0.383 W:1.908
512778582.82 V:4.981 A:0.383 W:1.908
512778583.02 V:4.981 A:0.383 W:1.908
512778583.22 V:4.983 A:0.383 W:1.908
512778583.42 V:4.983 A:0.383 W:1.908
512778583.62 V:4.981 A:0.383 W:1.912
512778583.82 V:4.981 A:0.383 W:1.908
512778584.02 V:4.981 A:0.387 W:1.928
512778584.22 V:4.981 A:0.387 W:1.928
512778584.42 V:4.981 A:0.383 W:1.912
512778584.62 V:4.981 A:0.383 W:1.908
512778584.82 V:4.983 A:0.383 W:1.908
512778585.02 V:4.983 A:0.383 W:1.908
512778585.22 V:4.983 A:0.383 W:1.908
512778585.42 V:4.983 A:0.383 W:1.908
512778585.62 V:4.983 A:0.383 W:1.908
512778585.82 V:4.983 A:0.383 W:1.908
512778586.02 V:4.983 A:0.383 W:1.908
512778586.22 V:4.981 A:0.384 W:1.912
512778586.42 V:4.981 A:0.384 W:1.912
512778586.62 V:4.981 A:0.384 W:1.912
512778586.82 V:4.986 A:0.383 W:1.908
512778587.02 V:4.981 A:0.383 W:1.908
512778587.22 V:4.981 A:0.383 W:1.908
512778587.42 V:4.981 A:0.383 W:1.908
512778587.62 V:4.983 A:0.383 W:1.908
512778587.82 V:4.981 A:0.383 W:1.908
512778588.02 V:4.981 A:0.383 W:1.908
512778588.22 V:4.981 A:0.383 W:1.908
512778588.42 V:4.981 A:0.383 W:1.908
512778588.62 V:4.981 A:0.383 W:1.908
512778588.82 V:4.981 A:0.383 W:1.908
512778589.02 V:4.981 A:0.383 W:1.908
512778589.22 V:4.981 A:0.383 W:1.908
512778589.42 V:4.981 A:0.383 W:1.908
512778589.62 V:4.981 A:0.383 W:1.908
512778589.82 V:4.983 A:0.383 W:1.908
512778590.02 V:4.983 A:0.383 W:1.908
512778590.22 V:4.983 A:0.383 W:1.908
512778590.42 V:4.980 A:0.383 W:1.908
512778590.62 V:4.981 A:0.383 W:1.908
512778590.82 V:4.983 A:0.383 W:1.908
512778591.02 V:4.983 A:0.383 W:1.908
512778591.22 V:4.981 A:0.383 W:1.908
512778591.42 V:4.981 A:0.383 W:1.908
512778591.62 V:4.983 A:0.383 W:1.908
512778591.82 V:4.983 A:0.383 W:1.908
512778592.02 V:4.981 A:0.383 W:1.908
512778592.22 V:4.981 A:0.383 W:1.908
512778592.42 V:4.981 A:0.383 W:1.908
512778592.62 V:4.981 A:0.383 W:1.908
512778592.82 V:4.981 A:0.383 W:1.908
512778593.02 V:4.981 A:0.383 W:1.908
512778593.22 V:4.981 A:0.383 W:1.908
512778593.42 V:4.981 A:0.383 W:1.908
512778593.62 V:4.981 A:0.383 W:1.908
512778593.82 V:4.981 A:0.383 W:1.908
512778594.02 V:4.981 A:0.383 W:1.908
512778594.22 V:4.981 A:0.383 W:1.908
512778594.42 V:4.981 A:0.383 W:1.908
512778594.62 V:4.981 A:0.383 W:1.908
512778594.82 V:4.981 A:0.383 W:1.908
512778595.02 V:4.983 A:0.383 W:1.908
512778595.22 V:4.981 A:0.383 W:1.908
512778595.42 V:4.981 A:0.383 W:1.908
512778595.62 V:4.981 A:0.383 W:1.908
512778595.82 V:4.985 A:0.413 W:2.061
512778596.02 V:4.986 A:0.432 W:2.157
512778596.22 V:4.986 A:0.432 W:2.157
512778596.42 V:4.986 A:0.432 W:2.157
512778596.62 V:4.986 A:0.432 W:2.157
512778596.82 V:4.986 A:0.432 W:2.157
512778597.02 V:4.986 A:0.432 W:2.157
512778597.22 V:4.986 A:0.432 W:2.157
512778597.42 V:4.986 A:0.432 W:2.157
512778597.62 V:4.985 A:0.432 W:2.157
512778597.82 V:4.985 A:0.432 W:2.157
512778598.02 V:4.986 A:0.432 W:2.157
512778598.22 V:4.986 A:0.434 W:2.164
512778598.42 V:4.986 A:0.434 W:2.164
512778598.62 V:4.986 A:0.435 W:2.172
512778598.82 V:4.994 A:0.500 W:2.500
512778599.02 V:4.996 A:0.528 W:2.637
512778599.22 V:4.996 A:0.528 W:2.637
512778599.42 V:4.994 A:0.499 W:2.492
512778599.62 V:4.994 A:0.498 W:2.489
512778599.82 V:4.987 A:0.441 W:2.199
512778600.02 V:4.987 A:0.441 W:2.199
512778600.22 V:4.983 A:0.406 W:2.023
512778600.42 V:4.981 A:0.395 W:1.970
512778600.62 V:4.983 A:0.395 W:1.966
512778600.82 V:4.983 A:0.395 W:1.966
512778601.02 V:4.983 A:0.398 W:1.985
512778601.22 V:4.985 A:0.415 W:2.069
512778601.42 V:4.983 A:0.395 W:1.966
512778601.62 V:4.983 A:0.395 W:1.966
512778601.82 V:4.983 A:0.396 W:1.973
512778602.02 V:4.984 A:0.401 W:2.000
512778602.22 V:4.984 A:0.401 W:2.000
512778602.42 V:4.984 A:0.412 W:2.057
512778602.62 V:4.986 A:0.441 W:2.199
512778602.82 V:4.986 A:0.433 W:2.160
512778603.02 V:4.986 A:0.433 W:2.160
512778603.22 V:4.985 A:0.424 W:2.115
512778603.42 V:4.986 A:0.426 W:2.126
512778603.62 V:4.984 A:0.417 W:2.080
512778603.82 V:4.984 A:0.417 W:2.080
512778604.02 V:4.986 A:0.430 W:2.141
512778604.22 V:4.986 A:0.431 W:2.149
512778604.42 V:4.985 A:0.426 W:2.126
512778604.62 V:4.985 A:0.426 W:2.126
512778604.82 V:4.985 A:0.417 W:2.080
512778605.02 V:4.985 A:0.426 W:2.126
512778605.22 V:4.985 A:0.426 W:2.126
512778605.42 V:4.986 A:0.423 W:2.111
512778605.62 V:4.986 A:0.427 W:2.130
512778605.82 V:4.986 A:0.436 W:2.176
512778606.02 V:4.986 A:0.436 W:2.176
512778606.22 V:4.987 A:0.444 W:2.218
512778606.42 V:4.986 A:0.434 W:2.164
512778606.62 V:4.986 A:0.434 W:2.168
512778606.82 V:4.986 A:0.434 W:2.168
512778607.02 V:4.987 A:0.438 W:2.187
512778607.22 V:4.986 A:0.434 W:2.164
512778607.42 V:4.986 A:0.431 W:2.149
512778607.62 V:4.986 A:0.431 W:2.149
512778607.82 V:4.985 A:0.428 W:2.134
512778608.02 V:4.986 A:0.430 W:2.145
512778608.22 V:4.986 A:0.432 W:2.157
512778608.42 V:4.986 A:0.432 W:2.157
512778608.62 V:4.984 A:0.418 W:2.084
512778608.82 V:4.983 A:0.395 W:1.970
512778609.02 V:4.983 A:0.395 W:1.970
512778609.22 V:4.983 A:0.395 W:1.966
512778609.42 V:4.981 A:0.397 W:1.981
512778609.62 V:4.981 A:0.396 W:1.973
512778609.82 V:4.981 A:0.396 W:1.973
512778610.02 V:4.981 A:0.394 W:1.966
512778610.22 V:4.983 A:0.394 W:1.966
512778610.42 V:4.983 A:0.396 W:1.973
512778610.62 V:4.983 A:0.396 W:1.973
512778610.82 V:4.983 A:0.395 W:1.970
512778611.02 V:4.983 A:0.396 W:1.973
512778611.22 V:4.983 A:0.397 W:1.977
512778611.42 V:4.983 A:0.397 W:1.977
512778611.62 V:4.983 A:0.395 W:1.970
512778611.82 V:4.981 A:0.395 W:1.970
512778612.02 V:4.981 A:0.395 W:1.970
512778612.22 V:4.983 A:0.395 W:1.970
512778612.42 V:4.983 A:0.395 W:1.970
512778612.62 V:4.981 A:0.395 W:1.970
512778612.82 V:4.981 A:0.395 W:1.970
512778613.02 V:4.983 A:0.394 W:1.966
512778613.22 V:4.983 A:0.395 W:1.970
512778613.42 V:4.981 A:0.396 W:1.973
512778613.62 V:4.981 A:0.396 W:1.973
512778613.82 V:4.981 A:0.395 W:1.970
512778614.02 V:4.981 A:0.395 W:1.970
512778614.22 V:4.981 A:0.394 W:1.966
512778614.42 V:4.981 A:0.394 W:1.966
512778614.62 V:4.981 A:0.394 W:1.966
512778614.82 V:4.984 A:0.410 W:2.042
512778615.02 V:4.984 A:0.410 W:2.042
512778615.22 V:4.981 A:0.394 W:1.962
512778615.42 V:4.981 A:0.395 W:1.970
512778615.62 V:4.983 A:0.395 W:1.966
512778615.82 V:4.983 A:0.395 W:1.966
512778616.02 V:4.981 A:0.395 W:1.966
512778616.22 V:4.983 A:0.396 W:1.973
512778616.42 V:4.983 A:0.396 W:1.973
512778616.62 V:4.983 A:0.396 W:1.973
512778616.82 V:4.981 A:0.394 W:1.966
512778617.02 V:4.983 A:0.394 W:1.966
512778617.22 V:4.983 A:0.395 W:1.970
512778617.42 V:4.983 A:0.395 W:1.970
512778617.62 V:4.981 A:0.395 W:1.970
512778617.82 V:4.983 A:0.396 W:1.973
512778618.02 V:4.983 A:0.394 W:1.966
512778618.22 V:4.983 A:0.394 W:1.966
512778618.42 V:4.981 A:0.394 W:1.966
512778618.62 V:4.983 A:0.406 W:2.023
512778618.82 V:4.983 A:0.406 W:2.023
512778619.02 V:4.981 A:0.397 W:1.981
512778619.22 V:4.981 A:0.395 W:1.970
512778619.42 V:4.981 A:0.395 W:1.966
512778619.62 V:4.981 A:0.395 W:1.966
512778619.82 V:4.981 A:0.395 W:1.970
512778620.02 V:4.981 A:0.395 W:1.970
512778620.22 V:4.983 A:0.395 W:1.970
512778620.42 V:4.983 A:0.395 W:1.970
512778620.62 V:4.983 A:0.395 W:1.966
512778620.82 V:4.981 A:0.394 W:1.966
512778621.02 V:4.981 A:0.394 W:1.966
512778621.22 V:4.981 A:0.394 W:1.966
512778621.42 V:4.984 A:0.395 W:1.970
512778621.62 V:4.981 A:0.397 W:1.973
512778621.82 V:4.981 A:0.397 W:1.973
512778622.02 V:4.981 A:0.395 W:1.970
512778622.22 V:4.984 A:0.395 W:1.970
512778622.42 V:4.983 A:0.395 W:1.970
512778622.62 V:4.983 A:0.395 W:1.970
512778622.82 V:4.983 A:0.395 W:1.966
512778623.02 V:4.981 A:0.394 W:1.966
512778623.22 V:4.981 A:0.396 W:1.970
512778623.42 V:4.981 A:0.396 W:1.970
512778623.62 V:4.981 A:0.395 W:1.966
512778623.82 V:4.981 A:0.394 W:1.966
512778624.02 V:4.981 A:0.395 W:1.970
512778624.22 V:4.981 A:0.395 W:1.970
512778624.42 V:4.983 A:0.395 W:1.970
512778624.62 V:4.983 A:0.396 W:1.973
512778624.82 V:4.983 A:0.396 W:1.973
512778625.02 V:4.981 A:0.395 W:1.966
512778625.22 V:4.983 A:0.396 W:1.977
512778625.42 V:4.983 A:0.395 W:1.970
512778625.62 V:4.983 A:0.395 W:1.970
512778625.82 V:4.981 A:0.395 W:1.970
512778626.02 V:4.981 A:0.395 W:1.970
512778626.22 V:4.983 A:0.396 W:1.973
512778626.42 V:4.983 A:0.396 W:1.973
512778626.62 V:4.981 A:0.395 W:1.970
512778626.82 V:4.983 A:0.396 W:1.973
512778627.02 V:4.983 A:0.394 W:1.966
512778627.22 V:4.983 A:0.394 W:1.966
512778627.42 V:4.983 A:0.395 W:1.966
512778627.62 V:4.983 A:0.395 W:1.966
