time v a w
512778924.5 V:4.981 A:0.383 W:1.908
512778924.62 V:4.981 A:0.383 W:1.908
512778924.82 V:4.983 A:0.383 W:1.908
512778925.02 V:4.983 A:0.383 W:1.908
512778925.22 V:4.983 A:0.383 W:1.908
512778925.42 V:4.983 A:0.383 W:1.912
512778925.62 V:4.983 A:0.383 W:1.908
512778925.82 V:4.983 A:0.383 W:1.908
512778926.02 V:4.983 A:0.383 W:1.908
512778926.22 V:4.983 A:0.384 W:1.916
512778926.42 V:4.983 A:0.383 W:1.908
512778926.62 V:4.983 A:0.383 W:1.908
512778926.82 V:4.983 A:0.383 W:1.908
512778927.02 V:4.981 A:0.383 W:1.908
512778927.22 V:4.983 A:0.383 W:1.908
512778927.42 V:4.983 A:0.383 W:1.908
512778927.62 V:4.985 A:0.383 W:1.908
512778927.82 V:4.981 A:0.383 W:1.908
512778928.02 V:4.983 A:0.383 W:1.908
512778928.22 V:4.983 A:0.383 W:1.908
512778928.42 V:4.983 A:0.383 W:1.908
512778928.62 V:4.981 A:0.383 W:1.908
512778928.82 V:4.981 A:0.383 W:1.908
512778929.02 V:4.981 A:0.383 W:1.908
512778929.22 V:4.983 A:0.383 W:1.908
512778929.42 V:4.981 A:0.384 W:1.912
512778929.62 V:4.981 A:0.384 W:1.912
512778929.82 V:4.981 A:0.383 W:1.908
512778930.02 V:4.983 A:0.383 W:1.908
512778930.22 V:4.981 A:0.383 W:1.908
512778930.42 V:4.981 A:0.383 W:1.908
512778930.62 V:4.985 A:0.384 W:1.912
512778930.82 V:4.984 A:0.383 W:1.912
512778931.02 V:4.983 A:0.383 W:1.908
512778931.22 V:4.983 A:0.383 W:1.908
512778931.42 V:4.984 A:0.383 W:1.912
512778931.62 V:4.985 A:0.383 W:1.908
512778931.82 V:4.985 A:0.383 W:1.908
512778932.02 V:4.981 A:0.383 W:1.908
512778932.22 V:4.983 A:0.383 W:1.908
512778932.42 V:4.983 A:0.383 W:1.908
512778932.62 V:4.983 A:0.383 W:1.908
512778932.82 V:4.981 A:0.383 W:1.908
512778933.02 V:4.981 A:0.383 W:1.908
512778933.22 V:4.981 A:0.383 W:1.908
512778933.42 V:4.981 A:0.383 W:1.908
512778933.62 V:4.980 A:0.383 W:1.908
512778933.82 V:4.980 A:0.383 W:1.908
512778934.02 V:4.983 A:0.382 W:1.908
512778934.22 V:4.983 A:0.382 W:1.908
512778934.42 V:4.980 A:0.383 W:1.908
512778934.62 V:4.980 A:0.383 W:1.908
512778934.82 V:4.981 A:0.383 W:1.912
512778935.02 V:4.981 A:0.383 W:1.912
512778935.22 V:4.983 A:0.393 W:1.962
512778935.42 V:4.985 A:0.416 W:2.073
512778935.62 V:4.985 A:0.416 W:2.073
512778935.82 V:4.986 A:0.426 W:2.126
512778936.02 V:4.984 A:0.403 W:2.008
512778936.22 V:4.983 A:0.402 W:2.004
512778936.42 V:4.983 A:0.402 W:2.004
512778936.62 V:4.983 A:0.402 W:2.008
512778936.82 V:4.985 A:0.426 W:2.126
512778937.02 V:4.987 A:0.450 W:2.248
512778937.22 V:4.987 A:0.450 W:2.248
512778937.42 V:4.989 A:0.445 W:2.218
512778937.62 V:4.987 A:0.449 W:2.244
512778937.82 V:4.989 A:0.462 W:2.302
512778938.02 V:4.989 A:0.462 W:2.302
512778938.22 V:4.989 A:0.464 W:2.317
512778938.42 V:4.989 A:0.463 W:2.313
512778938.62 V:4.989 A:0.463 W:2.313
512778938.82 V:4.989 A:0.467 W:2.332
512778939.02 V:4.990 A:0.471 W:2.351
512778939.22 V:4.994 A:0.500 W:2.500
512778939.42 V:4.994 A:0.500 W:2.500
512778939.62 V:4.992 A:0.495 W:2.473
512778939.82 V:4.992 A:0.490 W:2.447
512778940.02 V:4.992 A:0.486 W:2.428
512778940.22 V:4.992 A:0.486 W:2.428
512778940.42 V:4.991 A:0.487 W:2.435
512778940.62 V:4.995 A:0.507 W:2.531
512778940.82 V:4.995 A:0.509 W:2.542
512778941.02 V:4.995 A:0.509 W:2.542
512778941.22 V:4.994 A:0.508 W:2.542
512778941.42 V:4.995 A:0.507 W:2.534
512778941.62 V:4.995 A:0.507 W:2.534
512778941.82 V:4.995 A:0.510 W:2.550
512778942.02 V:4.995 A:0.507 W:2.534
512778942.22 V:4.995 A:0.514 W:2.569
512778942.42 V:4.995 A:0.514 W:2.569
512778942.62 V:4.995 A:0.510 W:2.550
512778942.82 V:4.994 A:0.511 W:2.553
512778943.02 V:4.995 A:0.502 W:2.508
512778943.22 V:4.995 A:0.502 W:2.508
512778943.42 V:4.995 A:0.509 W:2.546
512778943.62 V:4.994 A:0.506 W:2.527
512778943.82 V:4.994 A:0.501 W:2.504
512778944.02 V:4.994 A:0.501 W:2.504
512778944.22 V:4.994 A:0.500 W:2.496
512778944.42 V:4.991 A:0.486 W:2.424
512778944.62 V:4.992 A:0.479 W:2.393
512778944.82 V:4.992 A:0.479 W:2.393
512778945.02 V:4.994 A:0.477 W:2.386
512778945.22 V:4.991 A:0.476 W:2.378
512778945.42 V:4.991 A:0.476 W:2.378
512778945.62 V:4.994 A:0.477 W:2.382
512778945.82 V:4.992 A:0.476 W:2.378
512778946.02 V:4.991 A:0.482 W:2.408
512778946.22 V:4.991 A:0.482 W:2.408
512778946.42 V:4.991 A:0.479 W:2.389
512778946.62 V:4.992 A:0.476 W:2.378
512778946.82 V:4.994 A:0.475 W:2.374
512778947.02 V:4.994 A:0.475 W:2.374
512778947.22 V:4.991 A:0.475 W:2.370
512778947.42 V:4.991 A:0.475 W:2.374
512778947.62 V:4.991 A:0.476 W:2.378
512778947.82 V:4.991 A:0.476 W:2.378
512778948.02 V:4.991 A:0.475 W:2.374
512778948.22 V:4.990 A:0.475 W:2.370
512778948.42 V:4.990 A:0.475 W:2.370
512778948.62 V:4.990 A:0.475 W:2.370
512778948.82 V:4.991 A:0.475 W:2.370
512778949.02 V:4.991 A:0.476 W:2.378
512778949.22 V:4.991 A:0.476 W:2.378
512778949.42 V:4.990 A:0.476 W:2.378
512778949.62 V:4.991 A:0.476 W:2.374
512778949.82 V:4.991 A:0.475 W:2.374
512778950.02 V:4.991 A:0.475 W:2.374
512778950.22 V:4.990 A:0.476 W:2.374
512778950.42 V:4.992 A:0.476 W:2.378
512778950.62 V:4.991 A:0.476 W:2.374
512778950.82 V:4.991 A:0.476 W:2.374
512778951.02 V:4.991 A:0.475 W:2.374
512778951.22 V:4.991 A:0.475 W:2.374
512778951.42 V:4.991 A:0.476 W:2.378
512778951.62 V:4.991 A:0.476 W:2.378
512778951.82 V:4.991 A:0.476 W:2.378
512778952.02 V:4.991 A:0.475 W:2.374
512778952.22 V:4.991 A:0.475 W:2.374
512778952.42 V:4.991 A:0.475 W:2.374
512778952.62 V:4.991 A:0.475 W:2.374
512778952.82 V:4.991 A:0.476 W:2.374
512778953.02 V:4.991 A:0.476 W:2.374
512778953.22 V:4.991 A:0.475 W:2.374
512778953.42 V:4.990 A:0.475 W:2.374
512778953.62 V:4.991 A:0.475 W:2.374
512778953.82 V:4.991 A:0.475 W:2.374
512778954.02 V:4.991 A:0.476 W:2.374
512778954.22 V:4.990 A:0.476 W:2.374
512778954.42 V:4.992 A:0.488 W:2.439
512778954.62 V:4.992 A:0.488 W:2.439
512778954.82 V:4.994 A:0.497 W:2.485
512778955.02 V:4.994 A:0.508 W:2.534
512778955.22 V:4.994 A:0.508 W:2.534
512778955.42 V:4.992 A:0.497 W:2.485
512778955.62 V:4.994 A:0.498 W:2.489
512778955.82 V:4.992 A:0.487 W:2.431
512778956.02 V:4.992 A:0.487 W:2.431
512778956.22 V:4.991 A:0.475 W:2.374
512778956.42 V:4.991 A:0.475 W:2.374
512778956.62 V:4.991 A:0.475 W:2.374
512778956.82 V:4.991 A:0.475 W:2.374
512778957.02 V:4.991 A:0.475 W:2.374
512778957.22 V:4.991 A:0.476 W:2.382
512778957.42 V:4.990 A:0.475 W:2.374
512778957.62 V:4.990 A:0.475 W:2.374
512778957.82 V:4.991 A:0.476 W:2.374
512778958.02 V:4.991 A:0.475 W:2.374
512778958.22 V:4.991 A:0.475 W:2.374
512778958.42 V:4.990 A:0.476 W:2.374
512778958.62 V:4.991 A:0.475 W:2.374
512778958.82 V:4.991 A:0.475 W:2.374
512778959.02 V:4.991 A:0.475 W:2.374
512778959.22 V:4.990 A:0.475 W:2.374
512778959.42 V:4.990 A:0.475 W:2.370
512778959.62 V:4.990 A:0.474 W:2.370
512778959.82 V:4.990 A:0.474 W:2.370
512778960.02 V:4.990 A:0.475 W:2.370
512778960.22 V:4.990 A:0.475 W:2.374
512778960.42 V:4.990 A:0.475 W:2.370
512778960.62 V:4.990 A:0.475 W:2.370
512778960.82 V:4.991 A:0.475 W:2.370
512778961.02 V:4.991 A:0.476 W:2.378
512778961.22 V:4.991 A:0.476 W:2.378
512778961.42 V:4.991 A:0.476 W:2.378
512778961.62 V:4.991 A:0.474 W:2.370
512778961.82 V:4.991 A:0.475 W:2.370
512778962.02 V:4.991 A:0.475 W:2.370
512778962.22 V:4.991 A:0.475 W:2.370
512778962.42 V:4.990 A:0.475 W:2.370
512778962.62 V:4.991 A:0.475 W:2.370
512778962.82 V:4.991 A:0.475 W:2.370
512778963.02 V:4.991 A:0.475 W:2.370
512778963.22 V:4.990 A:0.475 W:2.370
512778963.42 V:4.990 A:0.475 W:2.370
512778963.62 V:4.990 A:0.475 W:2.370
512778963.82 V:4.991 A:0.483 W:2.412
512778964.02 V:4.991 A:0.483 W:2.408
512778964.22 V:4.991 A:0.480 W:2.397
512778964.42 V:4.991 A:0.480 W:2.397
512778964.62 V:4.990 A:0.480 W:2.397
512778964.82 V:4.990 A:0.479 W:2.393
512778965.02 V:4.990 A:0.479 W:2.393
512778965.22 V:4.990 A:0.480 W:2.393
512778965.42 V:4.991 A:0.483 W:2.412
512778965.62 V:4.991 A:0.483 W:2.412
512778965.82 V:4.991 A:0.483 W:2.412
512778966.02 V:4.992 A:0.490 W:2.450
512778966.22 V:4.994 A:0.499 W:2.496
512778966.42 V:4.994 A:0.513 W:2.565
512778966.62 V:4.994 A:0.513 W:2.565
512778966.82 V:4.995 A:0.515 W:2.576
512778967.02 V:4.995 A:0.508 W:2.538
512778967.22 V:4.992 A:0.496 W:2.477
512778967.42 V:4.992 A:0.496 W:2.477
512778967.62 V:4.994 A:0.499 W:2.492
512778967.82 V:4.992 A:0.492 W:2.458
512778968.02 V:4.992 A:0.492 W:2.458
512778968.22 V:4.991 A:0.477 W:2.382
512778968.42 V:4.990 A:0.477 W:2.382
512778968.62 V:4.990 A:0.476 W:2.378
512778968.82 V:4.990 A:0.476 W:2.378
512778969.02 V:4.990 A:0.475 W:2.370
512778969.22 V:4.991 A:0.483 W:2.412
512778969.42 V:4.990 A:0.476 W:2.378
512778969.62 V:4.990 A:0.476 W:2.378
512778969.82 V:4.990 A:0.475 W:2.370
512778970.02 V:4.990 A:0.475 W:2.370
512778970.22 V:4.991 A:0.475 W:2.370
512778970.42 V:4.991 A:0.475 W:2.370
512778970.62 V:4.992 A:0.491 W:2.454
