time v a w
512779382.57 V:4.980 A:0.391 W:1.950
512779382.72 V:4.980 A:0.388 W:1.931
512779382.92 V:4.980 A:0.388 W:1.931
512779383.12 V:4.980 A:0.388 W:1.931
512779383.32 V:4.980 A:0.388 W:1.931
512779383.52 V:4.980 A:0.388 W:1.931
512779383.72 V:4.980 A:0.388 W:1.931
512779383.92 V:4.980 A:0.388 W:1.931
512779384.12 V:4.980 A:0.388 W:1.931
512779384.32 V:4.983 A:0.388 W:1.931
512779384.52 V:4.980 A:0.388 W:1.931
512779384.72 V:4.980 A:0.388 W:1.931
512779384.92 V:4.980 A:0.387 W:1.931
512779385.12 V:4.981 A:0.388 W:1.931
512779385.32 V:4.981 A:0.388 W:1.931
512779385.52 V:4.981 A:0.388 W:1.931
512779385.72 V:4.980 A:0.388 W:1.931
512779385.92 V:4.981 A:0.388 W:1.931
512779386.12 V:4.981 A:0.388 W:1.931
512779386.32 V:4.981 A:0.388 W:1.931
512779386.52 V:4.981 A:0.388 W:1.931
512779386.72 V:4.980 A:0.388 W:1.931
512779386.92 V:4.980 A:0.388 W:1.931
512779387.12 V:4.980 A:0.388 W:1.931
512779387.32 V:4.980 A:0.388 W:1.931
512779387.52 V:4.980 A:0.388 W:1.931
512779387.72 V:4.980 A:0.388 W:1.931
512779387.92 V:4.980 A:0.388 W:1.931
512779388.12 V:4.981 A:0.388 W:1.931
512779388.32 V:4.983 A:0.388 W:1.935
512779388.52 V:4.983 A:0.388 W:1.935
512779388.72 V:4.983 A:0.388 W:1.935
512779388.92 V:4.980 A:0.388 W:1.931
512779389.12 V:4.983 A:0.388 W:1.935
512779389.32 V:4.983 A:0.388 W:1.935
512779389.52 V:4.981 A:0.388 W:1.935
512779389.72 V:4.981 A:0.388 W:1.935
512779389.92 V:4.983 A:0.388 W:1.935
512779390.12 V:4.983 A:0.388 W:1.935
512779390.32 V:4.983 A:0.388 W:1.931
512779390.52 V:4.983 A:0.388 W:1.935
512779390.72 V:4.983 A:0.388 W:1.935
512779390.92 V:4.983 A:0.388 W:1.935
512779391.12 V:4.981 A:0.388 W:1.931
512779391.32 V:4.985 A:0.412 W:2.050
512779391.52 V:4.985 A:0.412 W:2.050
512779391.72 V:4.983 A:0.400 W:1.996
