time (s)	Usage_0	Usage_1	Usage_2	Usage_3	Usage_4	Usage_5	Usage_6	Usage_7	Temp_C4	Temp_C5	Temp_C6	Temp_C7	Temp_GPU	Small Cluster Frequency	Big Cluster Frequency	Board_Volts	Board_Amps	Board_Watts	Time_elapsed (s)			
510796333.7	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.004	0.695	3.477	#VALUE!			
510796334.1	0	0	0	0	0	0	0	0	45	45	48	47	43	1400000	2000000	5.001	0.708	3.542	0.449999988			
510796334.5	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.005	0.742	3.718	0.379999995		NOTE: Ambient room temperature was ~19 Celcius	
510796334.9	0	0	0	0	0	0	0	0	44	45	47	46	43	1400000	2000000	5	0.699	3.496	0.379999995			
510796335.3	0	0	0	0	0	0	0	0	44	45	47	46	43	1400000	2000000	5.001	0.694	3.47	0.390000045		Sample Timing	
510796335.7	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.001	0.694	3.473	0.379999995		Max	0.480000019
510796336.1	0	0	0	0	0	0	0	0	45	45	48	47	43	1400000	2000000	5.001	0.719	3.595	0.379999995		Min	0.279999971
510796336.4	0	0	0	0	0	0	0	0	44	45	48	47	43	1400000	2000000	5	0.709	3.546	0.379999995		Avg	0.383195364
510796336.8	0	0	0	0	0	0	0	0	44	45	47	46	43	1400000	2000000	5.001	0.697	3.489	0.389999986		Std Dev	0.005929071
510796337.2	0	0	0	0	0	0	0	0	44	45	48	47	43	1400000	2000000	5.001	0.697	3.489	0.379999995			
510796337.6	0	0	0	0	0	0	0	0	44	45	48	47	43	1400000	2000000	5.003	0.697	3.485	0.379999995			
510796338	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.001	0.694	3.473	0.390000045			
510796338.4	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.003	0.696	3.481	0.379999995			
510796338.7	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.001	0.692	3.462	0.379999995			
510796339.1	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.004	0.722	3.611	0.389999986			
510796339.5	0	0	0	0	0	0	0	0	44	45	48	47	43	1400000	2000000	5.001	0.696	3.481	0.379999995			
510796339.9	0	0	0	0	0	0	0	0	44	45	47	47	43	1400000	2000000	5.006	0.697	3.492	0.379999995			
510796340.3	0	0	0	0	0	0	0	0	45	46	48	47	43	1400000	2000000	5	0.695	3.473	0.389999986			
510796340.7	0	0	0	0	0	0	0	0	45	45	48	47	43	1400000	2000000	5.001	0.703	3.519	0.379999995			
