time	u0	u1	u2	u3	u4	u5	u6	u7	t0	t1	t2	t3	tgpu	clf0	clf4	v	a	w		
511049593.2	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.007	0.736	3.687		
511049593.7	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.711	3.565		
511049594.1	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.719	3.603		
511049594.5	0	0	0	0	0.272727273	0.272727273	0	0	58	59	61	61	57	1400000	1900000	5.007	0.711	3.561		
511049594.8	0	0	0	0	0	0	0	0	58	59	62	62	57	1400000	1900000	5.017	0.863	4.332		
511049595.2	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.007	0.711	3.565		1900000
511049595.6	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.006	0.711	3.565		
511049595.9	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.006	0.72	3.607		
511049596.4	0	0	0	0	0	0.1	0	0	58	59	61	61	56	1400000	1900000	5.006	0.71	3.557		
511049596.8	0	0	0	0	0.090909091	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.778	3.905		
511049597	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.011	0.782	3.924		
511049597.5	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.006	0.713	3.573		
511049597.9	0	0	0	0	0.090909091	0	0	0	58	59	62	61	56	1400000	1900000	5.007	0.711	3.565		
511049598.3	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.715	3.58		
511049598.7	0	0	0	0	0.3	0.454545455	0	0	58	59	61	61	56	1400000	1900000	5.007	0.711	3.565		
511049599	0	0	0	0	0.090909091	0	0	0	58	59	61	61	57	1400000	1900000	5.016	0.812	4.076		
511049599.5	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.715	3.58		
511049599.8	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.006	0.711	3.561		
511049600.2	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.005	0.714	3.576		
511049600.6	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.009	0.733	3.676		
511049601	0	0	0	0	0	0	0	0	58	59	62	62	57	1400000	1900000	5.006	0.714	3.576		
511049601.4	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.006	0.712	3.565		
511049601.7	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.714	3.576		
511049602.1	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.711	3.561		
511049602.5	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.713	3.573		
511049602.9	0	0	0	0	0.111111111	0.111111111	0	0	60	59	61	63	56	1400000	1900000	5.011	0.773	3.878		
511049603.3	0	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.743	3.721		
511049603.6	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.007	0.713	3.573		
511049604	0	0	0	0	0	0	0	0	58	59	61	61	56	1400000	1900000	5.006	0.711	3.561		
511049604.5	0.333333333	0	0	0	0.1	0.2	0.1	0	58	59	61	61	56	1400000	1900000	5.006	0.717	3.588		
511049604.8	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.755	3.783		
511049605.2	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.884	4.443		
511049605.6	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.009	0.761	3.813		
511049605.9	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.758	3.798		
511049606.4	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.011	0.758	3.798		
511049606.8	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.014	0.784	3.935		
511049607.1	1	0	0	0	0	0	0	0	59	59	62	63	57	1400000	1900000	5.011	0.757	3.798		
511049607.5	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.019	0.873	4.386		
511049607.9	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.762	3.821		
511049608.3	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.012	0.778	3.901		
511049608.6	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.76	3.809		
511049609	1	0	0	0	0.3	0.363636364	0	0	58	59	61	61	57	1400000	1900000	5.009	0.757	3.794		
511049609.4	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.761	3.817		
511049609.8	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.783	3.928		
511049610.1	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.009	0.763	3.825		
511049610.5	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.757	3.794		
511049610.9	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.011	0.76	3.813		
511049611.3	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.871	4.374		
511049611.6	1	0	0	0	0.090909091	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.871	4.374		
511049612.1	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.765	3.836		
511049612.4	1	0	0	0	0.181818182	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.758	3.798		
511049612.9	1	0	0	0	0.1	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.785	3.935		
511049613.2	1	0	0	0	0.222222222	0.333333333	0.1	0	59	59	61	62	57	1400000	1900000	5.01	0.762	3.821		
511049613.6	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.874	4.389		
511049614	1	0	0	0	0.111111111	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.758	3.798		
511049614.4	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.78	3.912		
511049614.8	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.759	3.805		
511049615.1	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.759	3.805		
511049615.6	1	0	0	0	0.1	0	0	0	59	59	62	62	57	1400000	1900000	5.02	0.854	4.29		
511049615.9	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.014	0.784	3.935		
511049616.3	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.764	3.828		
511049616.7	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.014	0.757	3.802		
511049617.1	1	0	0	0	0.111111111	0	0	0	59	59	62	61	57	1400000	1900000	5.01	0.761	3.817		
511049617.5	1	0	0	0	0	0	0	0	61	59	62	64	57	1400000	1900000	5.011	0.779	3.905		
511049617.9	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.758	3.798		
511049618.3	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.759	3.805		
511049618.6	1	0	0	0	0.2	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.763	3.825		
511049619	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.009	0.76	3.809		
511049619.4	1	0	0	0	0.1	0.181818182	0	0	59	59	61	61	57	1400000	1900000	5.01	0.759	3.802		
511049619.8	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.015	0.804	4.034		
511049620.1	1	0	0	0	0.2	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.758	3.802		
511049620.5	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.012	0.784	3.931		
511049620.9	1	0	0	0	0.090909091	0	0	0	59	59	61	61	57	1400000	1900000	5.014	0.758	3.802		
511049621.3	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.011	0.76	3.809		
511049621.7	1	0	0	0	0.1	0	0	0	61	59	62	63	57	1400000	1900000	5.01	0.758	3.798		
511049622.1	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.785	3.939		
511049622.5	1	0	0	0	0.1	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.757	3.798		
511049622.8	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.762	3.821		
511049623.2	1	0	0	0	0	0	0	0	60	59	62	62	57	1400000	1900000	5.009	0.76	3.809		
511049623.6	1	0	0	0	0.4	0.4	0	0	59	59	62	62	57	1400000	1900000	5.012	0.778	3.905		
511049624	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.017	0.87	4.37		
511049624.4	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.759	3.809		
511049624.7	1	0	0	0	0	0	0	0	60	59	61	62	57	1400000	1900000	5.011	0.759	3.805		
511049625.1	1	0	0	0	0.1	0	0	0	59	59	61	61	57	1400000	1900000	5.012	0.778	3.901		
511049625.5	1	0	0	0	0.090909091	0	0	0	59	59	61	62	57	1400000	1900000	5.012	0.779	3.908		
511049625.9	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.017	0.833	4.183		
511049626.2	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.787	3.947		
511049626.7	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.76	3.813		
511049627.1	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.009	0.761	3.817		
511049627.5	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.009	0.761	3.817		
511049627.8	1	0	0	0	0.181818182	0.1	0.1	0	61	59	62	64	57	1400000	1900000	5.01	0.757	3.794		
511049628.2	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.021	0.878	4.412		
511049628.6	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.763	3.825		
511049628.9	1	0	0	0	0.090909091	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.76	3.813		
511049629.4	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.012	0.781	3.916		
511049629.8	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.762	3.825		
511049630.1	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.851	4.275		
511049630.5	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.009	0.764	3.832		
511049630.9	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.782	3.924		
511049631.3	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.759	3.805		
511049631.6	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.767	3.847		
511049632.1	1	0	0	0	0	0	0	0	60	59	62	63	57	1400000	1900000	5.017	0.852	4.279		
511049632.4	1	0	0	0	0	0.111111111	0	0	59	59	62	62	57	1400000	1900000	5.011	0.765	3.84		
511049632.8	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.015	0.8	4.012		
511049633.2	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.759	3.805		
511049633.5	1	0	0	0	0.090909091	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.756	3.794		
511049633.9	1	0	0	0	0.2	0.333333333	0	0	59	59	61	62	57	1400000	1900000	5.014	0.78	3.912		
511049634.3	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.865	4.344		
511049634.7	1	0	0	0	0.090909091	0	0	0	59	59	61	62	57	1400000	1900000	5.009	0.759	3.802		
511049635.1	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.01	0.76	3.809		
511049635.6	1	0	0	0	0	0.181818182	0	0	59	59	62	62	57	1400000	1900000	5.011	0.781	3.916		
511049636	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.764	3.832		
511049636.2	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.778	3.905		
511049636.6	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.015	0.85	4.267		
511049637	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.012	0.781	3.916		
511049637.4	1	0	0	0	0	0.2	0	0	59	59	61	61	57	1400000	1900000	5.01	0.763	3.825		
511049637.7	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.012	0.758	3.802		
511049638.1	1	0	0	0	0.272727273	0.454545455	0	0.1	59	59	62	62	57	1400000	1900000	5.01	0.76	3.809		
511049638.5	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.012	0.787	3.947		
511049638.9	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.759	3.805		
511049639.3	1	0	0	0	0.090909091	0	0	0	59	59	61	61	57	1400000	1900000	5.009	0.76	3.813		
511049639.7	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.757	3.798		
511049640.1	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.78	3.908		
511049640.5	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.858	4.313		
511049640.8	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.009	0.762	3.817		
511049641.2	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.765	3.836		
511049641.6	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.014	0.782	3.924		
511049642	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.757	3.794		
511049642.4	1	0	0	0	0	0.2	0	0	61	59	62	65	57	1400000	1900000	5.016	0.804	4.034		
511049642.6	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.016	0.831	4.172		
511049643.1	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.759	3.809		
511049643.5	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.761	3.817		
511049643.9	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.759	3.802		
511049644.3	1	0	0	0	0.090909091	0.111111111	0	0	59	59	61	61	57	1400000	1900000	5.01	0.761	3.817		
511049644.7	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.886	4.45		
511049645.1	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.764	3.828		
511049645.5	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.765	3.84		
511049645.8	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.763	3.828		
511049646.3	1	0	0	0	0.090909091	0	0	0	59	59	61	61	57	1400000	1900000	5.012	0.783	3.928		
511049646.5	1	0	0	0	0	0	0	0	59	59	62	63	57	1400000	1900000	5.011	0.759	3.805		
511049646.9	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.868	4.359		
511049647.4	1	0	0	0	0.090909091	0	0	0	59	59	62	61	57	1400000	1900000	5.012	0.762	3.821		
511049647.7	1	0	0	0	0	0	0	0	59	59	62	61	57	1400000	1900000	5.011	0.782	3.92		
511049648.1	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.758	3.798		
511049648.5	1	0	0	0	0.333333333	0.5	0	0	59	59	62	62	57	1400000	1900000	5.01	0.762	3.821		
511049648.9	1	0	0	0	0.1	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.854	4.286		
511049649.3	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.781	3.916		
511049649.7	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.757	3.798		
511049650.1	1	0	0	0	0	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.757	3.798		
511049650.5	1	0	0	0	0.1	0	0	0	58	59	61	61	57	1400000	1900000	5.01	0.758	3.798		
511049650.8	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.021	0.877	4.405		
511049651.2	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.01	0.764	3.828		
511049651.6	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.759	3.805		
511049652	1	0	0	0	0.25	0	0	0	59	59	61	61	57	1400000	1900000	5.009	0.76	3.809		
511049652.4	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.783	3.924		
511049652.7	1	0	0	0	0.2	0.2	0	0	61	59	62	63	57	1400000	1900000	5.01	0.758	3.802		
511049653.2	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.019	0.849	4.263		
511049653.4	1	0	0	0	0.111111111	0	0	0	59	59	61	62	57	1400000	1900000	5.009	0.762	3.821		
511049653.9	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.79	3.962		
511049654.3	1	0	0	0	0.090909091	0	0	0	59	59	61	61	57	1400000	1900000	5.01	0.761	3.813		
511049654.7	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.773	3.874		
511049654.9	1	0	0	0	0.181818182	0	0	0	59	59	62	62	57	1400000	1900000	5.02	0.851	4.271		
511049655.4	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.012	0.783	3.928		
511049655.7	1	0	0	0	0	0	0	0	59	59	61	62	57	1400000	1900000	5.011	0.76	3.809		
511049656.1	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.76	3.809		
511049656.6	1	0	0	0	0.2	0	0	0	59	59	62	62	57	1400000	1900000	5.011	0.775	3.886		
511049656.9	1	0	0	0	0	0	0	0	60	60	62	63	57	1400000	1900000	5.011	0.786	3.939		
511049657.3	1	0	0	0	0	0	0	0	59	59	62	62	57	1400000	1900000	5.017	0.86	4.321		
511049657.7	1	0	0	0	0	0	0	0	59	59	62	61	57	1400000	1900000	5.009	0.761	3.817		
511049658.1	1	0	0	0	0.181818182	0	0	0	58	59	61	61	57	1400000	1900000	5.011	0.781	3.916		
511049658.5	1	0	0	0	0	0	0	0	59	59	61	61	57	1400000	1900000	5.011	0.76	3.813		
511049658.9	1	0	0	0	0.2	0.3	0	0	59	59	61	62	57	1400000	1900000	5.01	0.76	3.809		
